Row Labels,Sum of year
2013,2013
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2013
ARGENTINA,2013
2014,2014
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2014
ARGENTINA,2014
2015,2015
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2015
ARGENTINA,2015
2016,2016
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2016
ARGENTINA,2016
2017,2017
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2017
ARGENTINA,2017
2018,2018
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2018
ARGENTINA,2018
2019,2019
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2019
ARGENTINA,2019
2020,2020
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2020
ARGENTINA,2020
2021,2021
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2021
ARGENTINA,2021
2022,2022
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2022
ARGENTINA,2022
2023,2023
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2023
ARGENTINA,2023
Grand Total,127456
